finding_id,severity,ticket,affected,source_or_reproduction,expected,observed,responsible_lane,acceptance_condition,evidence_to_close,status,raised_at,last_observed_base,linked,history
F-011,LOW,C00,"Build chip, overview build panel, MFA enrolment route","0.2.0 Overview (build_id, contract_version, profile, as_of); CONTRACT PROPOSAL auth mount table","build_id, profile, contract_version exposed; MFA enrolment route documented",0.2.0 proposes Overview.build_id/contract_version/profile and Better Auth paths including POST /api/auth/staff/two-factor/enable. Not implemented (A01) and not accepted (W00). Sign-in label bindings are tracked under F-023.,Work (accept); Codex (A01 implement),Accepted fields; A01 handoff shows them working,A01 handoff + screenshot showing build equal to manifest (T30),OPEN,2026-09-16,e839b1a,F-023,2026-09-16 @96b8bd7: OPEN — Not defined | 2026-09-16 @e5cdef3: Narrowed; sign-in label bindings moved to F-023. | 2026-09-16 @e839b1a: Proposal available; implementation pending A01.
F-012,MEDIUM,C00,Observation detail copy,"0.2.0 Observation (method, fresh_until, limits)",Enumerated observation methods and limits,"0.2.0 proposes method SCOPED_READ|PROVIDER_RECEIPT|NONE, observed_at, fresh_until and limits[]. UI_COPY binds method labels, UNRESOLVED pending W00.",Work (accept); Codex,Accepted schema + examples,Contract version,OPEN,2026-09-16,e839b1a,A00-W00-F02-F03,2026-09-16 @96b8bd7: OPEN — Not defined | 2026-09-16 @e5cdef3: Unchanged at e5cdef3. | 2026-09-16 @e839b1a: Proposal available.
F-013,MEDIUM,C00,Manual attestation and completion; workflow triggers,CONTRACT.md §3; W00 review; 0.2.0 Obligation.completion_criterion; packages/domain/src/completion.ts,"Work records the completion criterion for attested manual obligations and the workflow triggers, consistent with approved criteria","Approved criteria fix the core rule: attestation is never independent observation, and required unresolved obligations keep NEEDS_ATTENTION. 0.2.0 proposes per-obligation completion_criterion CURRENT_SCOPED_OBSERVATION | ATTRIBUTED_MANUAL_ATTESTATION, so an attested manual obligation could let a workflow reach COMPLETED while staying explicitly manual. Work has not accepted that. Cowork copy requires any COMPLETED workflow that includes manual attestations to say so, and never shows them as observed. An implementation contradicting approved criteria is a finding, not a new requirement.",Work,"Decision recorded (accept, amend or reject the 0.2.0 criterion); T20 asserts it",Decision record + T20 record,OPEN,2026-09-16,e839b1a,A00-W00-F02-F03,2026-09-16 @96b8bd7: OPEN — Not decided | 2026-09-16 @e5cdef3: Narrowed to the undecided completion criterion and workflow triggers. | 2026-09-16 @e839b1a: 0.2.0 proposal identified; Work decision pending.
F-014,LOW,C00,Cross-tenant and cross-principal denial codes,"CONTRACT.md §8; 0.2.0 ErrorResponse (NOT_FOUND, FORBIDDEN)",One recorded policy for 403 vs 404 per route class,Not decided. 0.2.0 has both codes but no rule for which one a cross-scope request gets.,Work,Decision recorded; J02/J03 assert it,Decision record,OPEN,2026-09-16,e839b1a,F-026,2026-09-16 @96b8bd7: OPEN — Not decided | 2026-09-16 @e5cdef3: Unchanged at e5cdef3. | 2026-09-16 @e839b1a: Unchanged.
F-015,HIGH,C02,Presentation deadline and leadership decision,CURRENT_STATE.md @ e839b1a ('R0 / deadline / target: Not supplied'),Deadline (IST) and requested decision recorded,"Still not supplied. Does not block A00, C00 or C01.",Human (record); Work (CURRENT_STATE),Recorded in CURRENT_STATE.md,File entry,OPEN,2026-09-16,e839b1a,W00-F05,2026-09-16 @96b8bd7: OPEN — Not recorded in any accessible file | 2026-09-16 @e5cdef3: Confirmed still missing in CURRENT_STATE.md. | 2026-09-16 @e839b1a: Unchanged.
F-016,MEDIUM,C00,P-RECEIPTS list,0.2.0 routes: GET /api/v1/portal/me/receipts/{id} only,"Own-receipt list route, or a decision to omit the list",No list route in 0.2.0.,Work → Codex,"Route added with contract bump, or nav item removed by decision",Decision record or contract example,OPEN,2026-09-16,e839b1a,,2026-09-16 @96b8bd7: OPEN — No list route | 2026-09-16 @e5cdef3: Unchanged at e5cdef3. | 2026-09-16 @e839b1a: Unchanged in 0.2.0.
F-017,MEDIUM,C00,Notice publish; policy lifecycle labels; order_service_demo in portal,0.2.0 routes and Purpose/Policy/Notice/ConsentChoice schemas,"Defined notice publish path, lifecycle values and portal purpose list rule","0.2.0 proposes Purpose/Policy status DRAFT|PUBLISHED|SUPERSEDED and Notice.published_at, but no notice publish route. Whether order_service_demo appears in GET /portal/me/consents (ConsentChoice) is not stated.",Work → Codex,Notice publish route or rule; portal purpose list rule; accepted lifecycle values,Contract example,OPEN,2026-09-16,e839b1a,,2026-09-16 @96b8bd7: OPEN — Not defined | 2026-09-16 @e5cdef3: Unchanged at e5cdef3. | 2026-09-16 @e839b1a: Lifecycle values proposed; notice publish and portal rule still missing.
F-018,HIGH,C00;C02,Display of send-admission decisions (T14 'no send row'),0.2.0 routes (send is MACHINE-only); Evidence.tests,"A staff-visible, scoped way to show admission decisions for the demo","No staff route. 0.2.0 SendResult forbids a send record for BLOCK/INDETERMINATE, but only machine callers see it; the demo must rely on Test Lab assertions or evidence export. The Send Gateway is not a configurable System in 0.2.0 (connectors: SYNTHETIC_CRM, ORVIA_REST_SIMULATOR, LEGACY_MANUAL).","Work → Codex, Claude Code",Decision recorded; chosen view implemented,Screenshot + T14 record,OPEN,2026-09-16,e839b1a,,2026-09-16 @96b8bd7: OPEN — No route; demo must use Test Lab assertions or evidence export | 2026-09-16 @e5cdef3: Unchanged at e5cdef3. | 2026-09-16 @e839b1a: Unchanged; scenario adjusted so the gateway is not listed as a configured system.
F-019,MEDIUM,C00,All workspace and Privacy Centre screens,"UX_BRIEF.md; UI_COPY.json; A00 UI transfer (layout.tsx, page.tsx)","Claude Code adopts labels, layout, states and focus rules, or returns specific objections",No screens exist at e839b1a. A00 transfers layout.tsx/page.tsx to Claude Code once Work/human accept the base; B00 NOT_STARTED. A local Claude Code B00 plan (outside the repository) proposes different route paths; routes are Claude Code's decision.,Claude Code,Review note in handoffs/code/ or handoffs/claude-code/; B-task screenshots match copy,Screenshots from candidate + J21 report,OPEN,2026-09-16,e839b1a,,2026-09-16 @96b8bd7: OPEN — No UI exists; no response yet | 2026-09-16 @e5cdef3: Unchanged; copy revised in r3. | 2026-09-16 @e839b1a: r3 copy supersedes r2; still awaiting Claude Code.
F-020,HIGH,C01,docs/runbooks/OPERATOR.md command slots,docs/engineering/A00-LOCAL-DEVELOPMENT.md @ e839b1a,"Engineering-supplied commands for install, start, bootstrap, seed, health, fault, recovery, reset, shutdown","A00 supplies install, profile init, services, migrate, preflight, checks, smoke, build, bootstrap-only reset, status and stop commands (PowerShell, Windows). Runbook now lists them as SUPPLIED (Codex-reported runs in codex-a00 only; not executed by Cowork or the human in the rehearsal profile). Still missing: A01 protected bootstrap/login, aster-birch-v1 business seed, fault modes, worker interruption, quarantined restore, egress blocking, rehearsal reset, TLS, shutdown of the full application (A01/A06/A07).",Codex,"A01/A06/A07 handoffs list exact commands, working directory, profile and expected output",Handoffs + human-run transcripts indexed,PARTIALLY_RESOLVED,2026-09-16,e839b1a,F-003,2026-09-16 @96b8bd7: OPEN — None supplied; all slots MISSING | 2026-09-16 @e5cdef3: Unchanged; task attribution now taken from tracking/tasks.json. | 2026-09-16 @e839b1a: A00 commands supplied; later commands missing. Severity lowered from BLOCKER.
F-021,BLOCKER,C02,"Leadership handover, release checklist gates, T30","EVIDENCE_INDEX.json (0 test records, 0 media, 0 rehearsals)",Frozen candidate with P0 evidence and two rehearsals,"No candidate, test records, screenshots, recordings or rehearsals.","Codex (A07); Claude Code (B06); Human (rehearsals, sign-off)",EVIDENCE_INDEX entries INSPECTED for T01–T30 against one candidate,Indexed artifacts,OPEN,2026-09-16,e839b1a,,2026-09-16 @96b8bd7: OPEN — Nothing exists | 2026-09-16 @e5cdef3: Unchanged at e5cdef3. | 2026-09-16 @e839b1a: Unchanged.
F-022,LOW,C00,Claude project copy of the plan,SOURCE_ALIGNMENT.md (repository plan byte-identical to kit),One canonical plan,The Claude-project copy ORVIA_Prototype_Plan_v1.md is outside that comparison and has not been byte-compared.,Human,Confirm the project copy is identical or remove it,Checksum comparison,OPEN,2026-09-16,e839b1a,,"2026-09-16 @96b8bd7: OPEN — Headings, version line and cut rules match on spot-check; not byte-compared | 2026-09-16 @e5cdef3: Partly informed by Work's kit comparison; project copy still unverified. | 2026-09-16 @e839b1a: Unchanged."
F-023,MEDIUM,C00,"Sign-in and MFA copy: signin.staff.*, signin.portal.*","0.2.0 auth mount table (Better Auth 1.7.5 owns protocol errors {code,message})",Known ownership of sign-in/MFA labels and error text,Auth routes are mounted by contract only; A01 not implemented. Better Auth returns its own codes (e.g. INVALID_EMAIL_OR_PASSWORD). In r2 these eight entries were UNRESOLVED with no finding reference.,Codex (A01 auth integration facts); Claude Code (B01 labels and error mapping),A01 handoff lists routes and library-controlled strings; Claude Code maps library codes to UI_COPY; bindings updated,A01/B01 handoffs; J01 record,OPEN,2026-09-16,e839b1a,F-011,2026-09-16 @e5cdef3: raised in r3 from the review of unlinked UNRESOLVED entries | 2026-09-16 @e839b1a: Raised in r3 for the unreferenced sign-in entries.
F-024,HIGH,C00,"Uncertain-write and service-error copy: error.*.503, error.*.network_change, error.portal.503_not_saved, recovery.portal.*; P-CHOICES/P-GRANT retry","0.2.0 ErrorResponse (retry: NEVER|REAUTHENTICATE|REFRESH|SAME_IDEMPOTENCY_KEY|AFTER_DELAY); CONTRACT PROPOSAL 'Receipt, transaction and retry'","Copy only claims 'nothing changed' when an accepted contract gives an explicit no-commit signal that tests prove; the client keeps and retries the original request (same key, same payload, same expected_epoch) after timeout or reload; a fresh choice is a separate operation","0.2.0 says a timeout is not proof of rollback, retry only with the same idempotency key after re-authentication, and the browser never auto-retries writes. It has no explicit no-commit field and no request-status lookup. r2 copy said 'Your previous choice is unchanged' for 503 and implied an unchanged reload made a retry safe; r3 removes both and keeps the no-change variant as an UNRESOLVED conditional entry.","Codex (no-commit signal or its absence; A02 replay tests); Claude Code (retaining and recovering the original request across timeout and reload, B01/B02); Work (W01 review)",Accepted schema/examples; client retention behaviour specified and implemented; T08/T09 browser and integration evidence; UI_COPY bindings updated only after that,"A02/B02 handoffs; T08, T09, T29 records",OPEN,2026-09-16,e839b1a,W00-F03,2026-09-16 @e5cdef3: raised in r3 from review of error.portal.503 and retry wording | 2026-09-16 @e839b1a: Raised in r3.
F-025,MEDIUM,C00,Processing decision copy: state.decision.*.detail/basis,"0.2.0 Decision (reason_codes, policy_version_id, consent_epoch nullable)",Purpose-specific decision explanation derived from the evaluated authority,0.2.0 proposes reason_codes and nullable consent_epoch but no reviewed code-to-text mapping. r3 ALLOW text is purpose-neutral; the basis line stays UNRESOLVED. Marketing consent is never shown as a prerequisite for order_service_demo.,Codex (A04 reason-code catalogue); Work (review),Reviewed reason-code mapping; T15 exercises both purposes,Mapping file + T15 record,OPEN,2026-09-16,e839b1a,F-009,2026-09-16 @e5cdef3: raised in r3 when ALLOW copy was made purpose-neutral | 2026-09-16 @e839b1a: Raised in r3.
F-026,LOW,C00,Dual-session browser state (permission.both_sessions),CONTRACT PROPOSAL 'Auth mount and caller boundary' (proposed 403 when both sessions active),Confirmed rule and copy for a browser holding staff and principal sessions,Proposed by Codex; 'Work/Claude Code must confirm this rule before A01/B00 integration'. Copy added as UNRESOLVED.,Work; Claude Code,Rule confirmed; J03 asserts it,Decision record + J03 record,OPEN,2026-09-16,e839b1a,F-014,2026-09-16 @e839b1a: Raised in r3.
F-027,MEDIUM,C00;C01,"Cowork document tools (build_pack.py, validate_docs.py)",r2 tools at 96b8bd7,"Tools accept real progress, keep history, detect stale generated output and never mark readiness themselves","r2 validator required all journeys NOT_RUN and empty evidence; r2 builder hardcoded readiness, zero implemented screens, ticket text and 'None supplied', and always showed the first source inspection. r3 replaces both, adds --check and a historical fixture mode, and adds isolated regression tests.",Cowork,r3 tools and regression tests reviewed by Work,docs/reviews/cowork/VALIDATION.md r3 section; test output,RESOLVED_PENDING_REVIEW,2026-09-16,e839b1a,W00-F04,2026-09-16 @e839b1a: Raised and addressed in r3; Work review pending.
F-028,HIGH,C00;C01;C02,GitHub publication of the Cowork branch,git push --dry-run (HTTP 403 from git proxy); GitHub API HTTP 403; repository page shows Public,"Authorised private destination, or explicit human approval for public publication of these exact files, plus working write access","Repository is public; no separate approval to publish these materials publicly was given; this session also has no credential for the repository (push dry-run and API both 403). No commit, push or PR was made; delivery is a patch and ZIP.",Human,"Either approve public publication of the listed files or provide a private destination, and attach the repository to a session with write access",Remote branch SHA + draft PR link,OPEN,2026-09-16,e839b1a,,2026-09-16 @e839b1a: Raised in r3.
